Year,Income,Income_per_club,Income_per_player
2004,158687000,7934350,359020.66
2005,212354000,10617700,505604.55
2006,226037750,11301887.5,502306.21
2007,420719020,21035951,945436.32
2008,474445650,23722282.5,1088178.08
2009,462061300,23103065,1002301.98
2010,304776050,15238802.5,677280.21
2011,380166170,19008308.5,768012.15
2012,331551700,16577585,690732.56
2013,361573827,18078691.04,747053.54
2014,595591916,29779595.8,1136626.12
2015,622204340,31110217,1298964.79
2016,775962520,38798126,2031315.53
2017,1195899230,59794961.5,3058565.99
2018,513997055.1,25699852.71,1331598.42
2019,831185240,41559262,2193100.62
2020,405041821.3,20252091.51,1180879.59
2021,702499250,35124962.5,2048102.71
